,artist_name,track_name,track_id,popularity,streams,acousticness,danceability,duration_ms,Month,instrumentalness,key,energy,liveness,loudness,speechiness,tempo,time_signature,valence
18,Khalid,Saturday Nights,5kfNriitmkNE8mUbZ7gbq8,19,14310195,0.606,0.551,210667,1,3.02E-05,10,0.44,0.11,-8.559,0.0985,167.923,4,0.341
22,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,23,13286666,0.00987,0.601,217467,1,1.36E-06,7,0.794,0.388,-5.844,0.0671,114.066,4,0.244
27,Sheck Wes,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,28,12539927,0.194,0.729,183907,1,0.00986,4,0.625,0.248,-5.266,0.0315,146.034,4,0.261
28,Gesaffelstein,Lost in the Fire,7wFybC8jBH3zE139OpCtpG,29,12492860,0.0863,0.663,202093,1,0.00133,2,0.675,0.117,-12.159,0.0359,101.004,4,0.176
29,Ellie Goulding,Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,30,12481517,0.0969,0.574,182623,1,0,1,0.758,0.395,-5.029,0.0621,144.111,4,0.492
30,Dua Lipa,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",5600nq7TiBraBX2jobyJ3l,31,12007264,0.00579,0.588,182075,1,0.000275,5,0.821,0.208,-6.54,0.216,188.098,4,0.509
32,XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,33,11847064,0.258,0.74,166606,1,0.00372,8,0.613,0.123,-4.88,0.145,75.023,4,0.473
37,The Chainsmokers,Hope,4BiiOzZCrXEzHRLYcYFiD5,38,11347765,0.488,0.773,180120,1,3.60E-06,1,0.699,0.0814,-5.982,0.0958,104.941,4,0.513
41,Daddy Yankee,Adictiva,6MJUCumnQsQEKbCy28tbCP,42,10596413,0.291,0.788,207853,1,5.62E-05,4,0.771,0.172,-3.206,0.0563,99.038,4,0.701
43,XXXTENTACION,Moonlight,0JP9xo3adEtGSdUEISiszL,44,10299040,0.556,0.921,135090,1,0.00404,9,0.537,0.102,-5.723,0.0804,128.009,4,0.711
44,Flipp Dinero,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,45,10196801,0.107,0.792,195637,1,0,7,0.743,0.183,-2.806,0.0851,150.024,4,0.742
45,Gucci Mane,Wake Up in the Sky,2G1tXoGBaEMJ7FKGnkf6ud,46,10191897,0.00381,0.8,203161,1,0,4,0.578,0.367,-5.144,0.0485,143.01,4,0.367
46,XXXTENTACION,Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,47,10026086,0.0302,0.703,198903,1,2.06E-06,9,0.723,0.126,-5.45,0.0412,104.969,4,0.288
48,Dynoro,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,49,9771676,0.176,0.694,184560,1,1.10E-05,6,0.77,0.118,-5.335,0.149,125.905,4,0.163
49,Anuel AA,Amanece,1LiN0Z98FkR1t0m8KmLcAH,50,9651080,0.437,0.79,190005,1,0,8,0.631,0.158,-5.549,0.0425,94.039,4,0.889
