,id,name
0,0,Saturday Nights
1,1,Nothing Breaks Like a Heart (feat. Miley Cyrus)
2,2,Mo Bamba
3,3,Lost in the Fire
4,4,Close To Me (with Diplo) (feat. Swae Lee)
5,5,"Swan Song - From the Motion Picture ""Alita: Battle Angel"""
6,6,SAD!
7,7,Hope
8,8,Adictiva
9,9,Moonlight
10,10,Leave Me Alone
11,11,Wake Up in the Sky
12,12,Arms Around You (feat. Maluma & Swae Lee)
13,13,In My Mind
14,14,Amanece
15,15,a lot
16,16,Thotiana
17,17,Who Do You Love
18,18,bad idea
19,19,ZEZE (feat. Travis Scott & Offset)
20,20,needy
21,21,NASA
22,22,Girls Like You (feat. Cardi B)
23,23,Drip Too Hard (Lil Baby & Gunna)
24,24,bloodline
25,25,Nights Like This (feat. Ty Dolla $ign)
26,26,Ella Quiere Beber - Remix
27,27,"I CanÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)"
28,28,Talk
29,29,Au DD
30,30,R.I.P. (feat. Rita Ora & Anitta)
31,31,MIA (feat. Drake)
32,32,My Bad
33,33,Please Me
34,34,Bohemian Rhapsody - 2011 Mix
35,35,Cherry Lady
36,36,Adan y Eva
37,37,Robbery
38,38,SICKO MODE
39,39,Pure Water (with Migos)
40,40,Eastside (with Halsey & Khalid)
41,41,Desconocidos
42,42,Be Alright
43,43,Better Now
44,44,Look Back at It
45,45,Kill This Love
46,46,wish you were gay
47,47,Swervin (feat. 6ix9ine)
48,48,i'm so tired...
49,49,Let Me Down Slowly
50,50,Baila Baila Baila
51,51,"break up with your girlfriend, i'm bored"
52,52,Power is Power
53,53,MIDDLE CHILD
54,54,"thank u, next"
55,55,Secreto
56,56,lovely
57,57,Sanguine Paradise
58,58,Going Bad (feat. Drake)
59,59,High Hopes
60,60,On My Way
61,61,Earth
62,62,Murder On My Mind
63,63,you should see me in a crown
64,64,Giant (with Rag'n'Bone Man)
65,65,Better
66,66,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
67,67,SOS
68,68,Easier
69,69,Suge
70,70,bury a friend
71,71,Here With Me
72,72,Sweet but Psycho
73,73,Nightmare
74,74,when the party's over
75,75,Without Me
76,76,Dancing With A Stranger (with Normani)
77,77,Boy With Luv (feat. Halsey)
78,78,HP
79,79,"Carry On (from the Original Motion Picture ""POKÃƒÆ’Ã¢â‚¬Â°MON Detective Pikachu"")"
80,80,Isis
81,81,Pop Out (feat. Lil Tjay)
82,82,Paradise
83,83,"A Whole New World (End Title) - From ""Aladdin"""
84,84,Homicide (feat. Eminem)
85,85,lovely (with Khalid)
86,86,So Am I
87,87,SeÃƒÆ’Ã‚Â±orita
88,88,Rodeo
89,89,Tilidin
90,90,Loco Contigo (with J. Balvin & Tyga)
91,91,Heaven
92,92,EARFQUAKE
93,93,Te RobarÃƒÆ’Ã‚Â©
94,94,Only Human
95,95,Rescue Me
96,96,Pa MÃƒÆ’Ã‚Â­ - Remix
97,97,Tal Vez
98,98,Verte Ir
99,99,"Go Loko (feat. Tyga, Jon Z)"
100,100,Don't Call Me Up
101,101,Old Town Road (feat. Billy Ray Cyrus) - Remix
102,102,Loco Contigo
103,103,Otro Trago
104,104,bad guy (with Justin Bieber)
105,105,Antisocial (with Travis Scott)
106,106,Con Calma
107,107,If I Can't Have You
108,108,Cross Me (feat. Chance the Rapper & PnB Rock)
109,109,Never Really Over
110,110,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy)
111,111,Sucker
112,112,One Thing Right
113,113,Call You Mine
114,114,Old Town Road
115,115,Con Altura
116,116,Shallow
117,117,Remember The Name (feat. Eminem & 50 Cent)
118,118,Talk (feat. Disclosure)
119,119,Te RobarÃ¢Ë†Å¡Ã‚Â©
120,120,Calma - Remix
121,121,SOS (feat. Aloe Blacc)
122,122,Happier
123,123,SeÃƒÂ±orita
124,124,The Man
125,125,Cruel Summer
126,126,You Need To Calm Down
127,127,I Forgot That You Existed
128,128,Paper Rings
129,129,Miss Americana & The Heartbreak Prince
130,130,I Think He Knows
131,131,ME! (feat. Brendon Urie of Panic! At The Disco)
132,132,Soltera (Remix)
133,133,Cornelia Street
134,134,The Archer
135,135,London Boy
136,136,Death By A Thousand Cuts
137,137,23:00:00
138,138,Slide Away
139,139,7 rings
140,140,Afterglow
141,141,DonÃ¢â‚¬Å¡Ãƒâ€žÃƒÂ´t Call Me Angel (CharlieÃ¢â‚¬Å¡Ãƒâ€žÃƒÂ´s Angels) (with Miley Cyrus & Lana Del Rey)
142,142,Saint-Tropez
143,143,"Yo x Ti, Tu x Mi"
144,144,Enemies (feat. DaBaby)
145,145,Hollywood's Bleeding
146,146,Tutu
147,147,boyfriend (with Social House)
148,148,No Guidance (feat. Drake)
149,149,Money In The Grave (Drake ft. Rick Ross)
150,150,110
151,151,Piece Of Your Heart
152,152,Lover
153,153,Otro Trago - Remix
154,154,Soltera - Remix
155,155,Higher Love
156,156,"fuck, i'm lonely"
157,157,Takeaway (feat. Lennon Stella)
158,158,Die For Me (feat. Future & Halsey)
159,159,The London (feat. J. Cole & Travis Scott)
160,160,Wow.
161,161,Good as Hell
162,162,QUE PRETENDES
163,163,223's (feat. 9lokknine)
164,164,Follow God
165,165,Closed On Sunday
166,166,On God
167,167,Selah
168,168,Everything We Need
169,169,Use This Gospel
170,170,Every Hour
171,171,God Is
172,172,Water
173,173,Panini
174,174,Graveyard
175,175,Hands On
176,176,Take What You Want (feat. Ozzy Osbourne & Travis Scott)
177,177,It's You
178,178,Old Town Road - Remix
