,id,popularity
0,0,19
1,1,23
2,2,28
3,3,29
4,4,30
5,5,31
6,6,33
7,7,38
8,8,42
9,9,44
10,10,45
11,11,46
12,12,47
13,13,49
14,14,50
15,15,28
16,16,29
17,17,33
18,18,37
19,19,40
20,20,41
21,21,42
22,22,43
23,23,44
24,24,47
25,25,48
26,26,49
27,27,22
28,28,23
29,29,34
30,30,35
31,31,36
32,32,37
33,33,38
34,34,39
35,35,40
36,36,41
37,37,42
38,38,43
39,39,44
40,40,45
41,41,46
42,42,47
43,43,48
44,44,50
45,45,15
46,46,16
47,47,25
48,48,27
49,49,28
50,50,29
51,51,30
52,52,31
53,53,32
54,54,34
55,55,36
56,56,37
57,57,38
58,58,39
59,59,40
60,60,41
61,61,45
62,62,46
63,63,47
64,64,48
65,65,49
66,66,50
67,67,14
68,68,23
69,69,26
70,70,28
71,71,30
72,72,31
73,73,32
74,74,35
75,75,38
76,76,39
77,77,40
78,78,41
79,79,43
80,80,44
81,81,45
82,82,46
83,83,47
84,84,48
85,85,49
86,86,50
87,87,1
88,88,27
89,89,28
90,90,30
91,91,32
92,92,35
93,93,37
94,94,39
95,95,40
96,96,43
97,97,45
98,98,47
99,99,49
100,100,50
101,101,5
102,102,10
103,103,11
104,104,12
105,105,16
106,106,22
107,107,26
108,108,29
109,109,32
110,110,33
111,111,34
112,112,35
113,113,36
114,114,40
115,115,42
116,116,43
117,117,44
118,118,45
119,119,46
120,120,47
121,121,49
122,122,50
123,123,1
124,124,7
125,125,16
126,126,17
127,127,20
128,128,26
129,129,30
130,130,31
131,131,33
132,132,34
133,133,35
134,134,36
135,135,37
136,136,42
137,137,47
138,138,48
139,139,49
140,140,50
141,141,10
142,142,11
143,143,22
144,144,25
145,145,26
146,146,27
147,147,30
148,148,32
149,149,34
150,150,35
151,151,36
152,152,38
153,153,39
154,154,40
155,155,41
156,156,42
157,157,44
158,158,45
159,159,46
160,160,47
161,161,48
162,162,49
163,163,50
164,164,4
165,165,12
166,166,14
167,167,16
168,168,23
169,169,25
170,170,31
171,171,34
172,172,35
173,173,38
174,174,42
175,175,43
176,176,44
177,177,45
178,178,46
179,179,47
180,180,48
181,181,50
182,182,19
183,183,20
184,184,21
185,185,23
186,186,24
187,187,26
188,188,27
189,189,28
190,190,30
191,191,31
192,192,32
193,193,33
194,194,34
195,195,35
196,196,36
197,197,37
198,198,38
199,199,39
200,200,40
201,201,41
202,202,42
203,203,43
204,204,44
205,205,45
206,206,46
207,207,47
208,208,48
209,209,49
210,210,50
211,211,1
212,212,2
213,213,3
214,214,4
215,215,5
216,216,6
217,217,7
218,218,8
219,219,9
220,220,10
221,221,11
222,222,12
223,223,13
224,224,14
225,225,15
226,226,16
227,227,17
228,228,18
229,229,19
230,230,20
231,231,21
232,232,22
233,233,23
234,234,24
235,235,25
236,236,26
237,237,27
238,238,28
239,239,29
240,240,30
241,241,31
242,242,32
243,243,33
244,244,34
245,245,35
246,246,36
247,247,37
248,248,38
249,249,39
250,250,40
251,251,41
252,252,42
253,253,43
254,254,44
255,255,45
256,256,46
257,257,47
258,258,48
259,259,49
260,260,50
