,artist_name,track_name,track_id,popularity,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,1,61224745,0.759,0.54,9,-6.039,0,0.0287,0.037,0.0,0.0945,0.75,116.947,190960,4
1,Ed Sheeran,I Don't Care (with Justin Bieber),0hVXuCcriWRGvwMV1r5Yn9,2,31405904,0.798,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.842,101.956,219947,4
2,Ed Sheeran,Beautiful People (feat. Khalid),70eFcWOvlMObDhURTqT4Fv,3,30909530,0.64,0.648,5,-8.113,0,0.187,0.124,0.0,0.0802,0.548,92.977,197867,4
3,Post Malone,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,4,29585478,0.58,0.653,5,-3.818,1,0.0745,0.447,0.0,0.111,0.175,150.231,174960,4
4,Lil Nas X,Old Town Road (feat. Billy Ray Cyrus) - Remix,6u7jPi22kF8CTQ3rb9DHE7,5,24682240,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,157067,4
5,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,6,24218751,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
6,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,7,20938701,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,250534,4
7,Anuel AA,China,2ksOAxtIxY8yElEWw8RhgK,8,20707036,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
8,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,9,20565888,0.477,0.682,1,-4.931,0,0.0925,0.153,0.0,0.0763,0.345,110.567,202205,5
9,DJ Snake,Loco Contigo,1fBXSMOusjaj7GjzErHmUI,10,18602563,0.823,0.71,6,-3.896,0,0.0688,0.276,2.17e-06,0.152,0.376,96.024,185195,4
10,Sech,Otro Trago,1Ej96GIBCTvgH7tNX1r3qr,11,18499150,0.747,0.7,0,-4.669,1,0.341,0.136,0.000167,0.11,0.62,176.036,225933,4
11,Billie Eilish,bad guy (with Justin Bieber),3yNZ5r3LKfdmjoS3gkhUCT,12,18046778,0.67,0.453,0,-11.265,1,0.295,0.252,0.33,0.117,0.68,135.055,194840,4
12,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,13,17818356,0.703,0.594,5,-6.146,0,0.0752,0.342,0.0,0.123,0.475,153.848,114893,4
13,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,14,17717445,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4
14,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,15,17517483,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,205427,4
15,Ed Sheeran,Antisocial (with Travis Scott),1DhRbox3xkceP64k3JeYfW,16,17432151,0.715,0.823,5,-5.313,0,0.0495,0.133,0.0,0.361,0.91,151.956,161747,4
16,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,17,16783888,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,158040,4
17,Lil Tecca,Ransom,1kBbgxAUc4HQv7cgIayIDH,18,15910634,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974,131280,4
18,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,19,15829642,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,173325,4
19,Lunay,Soltera - Remix,1c0hsvHLELX6y8qymnpLKL,20,15545305,0.795,0.783,5,-4.271,1,0.0432,0.361,0.0,0.437,0.8,92.016,266087,4
20,MEDUZA,Piece Of Your Heart,1DFD5Fotzgn6yYXkYsKiGs,21,15245869,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,152913,4
21,Daddy Yankee,Con Calma,5w9c2J52mkdntKOmRLeM2m,22,15054287,0.737,0.86,8,-2.652,0,0.0593,0.11,1.94e-06,0.0574,0.656,93.989,193227,4
