artist_name,track_name,date,stream_count,track_url,track_position,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
tones and i,dance monkey,31/12/2019,8928593,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,1,1rgnBhdG2JDFTbYkYRZAku,0.825,0.593,6,-6.401,0,0.0988,0.688,0.000161,0.17,0.54,98.078,209755,4
arizona zervas,roxanne,31/12/2019,5525015,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2,696DnlkuDOXcMAnKlTgXXK,0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,163636,5
karol g,tusa,31/12/2019,4813524,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,3,7k4t7uLgtOxPwTpFmtJNTY,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,200960,4
dua lipa,don't start now,31/12/2019,4456157,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,4,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,183290,4
post malone,circles,31/12/2019,4267326,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,5,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
maroon 5,memories,31/12/2019,4267194,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM,6,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,4
the weeknd,blinding lights,31/12/2019,4123408,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,7,0sf12qNH5qcw8qpgymFOqD,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
shawn mendes,señorita,31/12/2019,3965419,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2,8,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0,0.0828,0.749,116.967,190800,4
black eyed peas,ritmo (bad boys for life),31/12/2019,3895457,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf,9,6cy3ki60hLwimwIje7tALf,0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4
trevor daniel,falling,31/12/2019,3889825,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,10,4TnjEaWOeW0eKTKIEvJyCa,0.784,0.43,10,-8.756,0,0.0364,0.123,0,0.0887,0.236,127.087,159382,4
billie eilish,bad guy,31/12/2019,3744964,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,11,2Fxmhks0bxGSBdJ92vM42m,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088,4
billie eilish,everything i wanted,31/12/2019,3391799,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,12,3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4
lewis capaldi,someone you loved,31/12/2019,3126631,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,13,7qEHsqek33rTcFNT9PFqLf,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,182161,4
roddy ricch,the box,31/12/2019,3090110,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,14,0nbXyq5TXYPCO7pr3N8S4I,0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,196653,4
harry styles,adore you,31/12/2019,2827861,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,15,3jjujdWJ72nww5eGnfs2E7,0.676,0.771,8,-3.675,1,0.0483,0.0237,7.00E-06,0.102,0.569,99.048,207133,4
regard,ride it,31/12/2019,2795908,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ,16,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43E-05,0.106,0.884,117.948,157606,4
camila cabello,my oh my (feat. dababy),31/12/2019,2699280,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,17,3yOlyBJuViE2YSGn3nVE1K,0.724,0.491,8,-6.024,1,0.0296,0.018,1.29E-05,0.0887,0.383,105.046,170746,4
blackbear,hot girl bummer,31/12/2019,2561544,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku,18,7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,185093,1
selena gomez,lose you to love me,31/12/2019,2530161,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5,19,1HfMVBKM75vxSfsQ5VefZ5,0.505,0.34,4,-9.005,1,0.0438,0.576,0,0.21,0.0916,101.993,206459,4
bad bunny,vete,31/12/2019,2496428,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c,20,5DxXgozhkPLgrbKFY91w0c,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78E-06,0.101,0.526,91.976,192024,4
ed sheeran,i don't care (with justin bieber),31/12/2019,2455299,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,21,0hVXuCcriWRGvwMV1r5Yn9,0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,4
harry styles,watermelon sugar,31/12/2019,2326562,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,22,6UelLqGlWMcVH1E5c4H7lY,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,174000,4
post malone,sunflower - spider-man: into the spider-verse,31/12/2019,2315799,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY,23,0RiRZpuVRbi7oqRdSMwhQY,0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,157560,4
anuel aa,china,31/12/2019,2244439,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,24,2ksOAxtIxY8yElEWw8RhgK,0.786,0.808,7,-3.702,1,0.0882,0.0846,0.000289,0.0822,0.609,105.027,301714,4
ed sheeran,beautiful people (feat. khalid),31/12/2019,2158876,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,25,70eFcWOvlMObDhURTqT4Fv,0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,4
travis scott,highest in the room,31/12/2019,2150309,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,26,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83E-06,0.21,0.0605,76.469,175721,4
dababy,bop,31/12/2019,2077694,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,27,6Ozh9Ok6h4Oi1wUSLtBseN,0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,159715,4
