,Unnamed: 0,acousticness,artist_name,danceability,duration_ms,energy,Month,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,streams,tempo,time_signature,track_id,track_name,valence
0,0,0.578,Ariana Grande,0.725,178640,0.321,1,0,1,0.0884,-10.744,0,1,0.323,59324475,70.142,4,14msK75pk3pA33pzPVNtBF,7 rings,0.319
1,1,0.149,J. Cole,0.837,213594,0.364,1,0,8,0.271,-11.713,1,2,0.276,33187464,123.984,4,2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,0.463
2,2,0.556,Post Malone,0.76,158040,0.479,1,0,2,0.0703,-5.574,1,3,0.0466,31802899,89.911,4,3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,0.913
3,3,0.163,Post Malone,0.833,149520,0.539,1,2.10E-06,11,0.101,-7.399,0,4,0.178,31030529,99.947,4,6MWtB6iiXyIwun0YzU6DFP,Wow.,0.385
4,4,0.297,Halsey,0.752,201661,0.488,1,9.11E-06,6,0.0936,-7.05,1,5,0.0705,26472621,136.041,4,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.533
5,5,0.28,Ariana Grande,0.724,207333,0.647,1,0,1,0.102,-5.642,1,6,0.0658,24236734,106.96,4,2rPE9A1vEgShuZxxzR2tZH,"thank u, next",0.435
6,6,0.45,Sam Smith,0.741,171030,0.52,1,1.97E-06,8,0.222,-7.513,1,7,0.0656,23144963,102.998,4,6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),0.347
7,7,0.323,Pedro CapÃ³,0.826,238200,0.773,1,0,11,0.143,-4.218,0,8,0.0524,23096433,126.899,4,5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,0.761
8,8,0.0691,Ava Max,0.719,187436,0.704,1,0,1,0.166,-4.724,1,9,0.0476,21482255,133.002,4,25sgk305KZfyuqVBQIahim,Sweet but Psycho,0.628
9,9,0.157,DJ Snake,0.842,212500,0.801,1,4.82E-06,8,0.0642,-4.167,0,10,0.228,20046891,95.881,4,4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.617
10,10,0.0141,Bad Bunny,0.817,210368,0.539,1,0.000496,6,0.099,-6.349,0,11,0.0621,19080557,97.062,4,116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),0.158
11,11,0.371,Lady Gaga,0.572,215733,0.385,1,0,7,0.231,-6.362,1,12,0.0308,18467720,95.799,4,2VxeLyX666F8uXCJ0dZF8B,Shallow,0.323
12,12,0.193,Panic! At The Disco,0.579,190947,0.904,1,0,5,0.064,-2.729,1,13,0.0618,17751164,82.014,4,1rqqCSm0Qe4I9rUvWncaom,High Hopes,0.681
13,13,0.259,Meek Mill,0.889,180522,0.496,1,0,4,0.252,-6.365,0,14,0.0905,17316775,86.003,4,2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),0.544
14,14,0.323,Paulo Londra,0.767,258639,0.709,1,0,1,0.0676,-4.47,1,15,0.336,17307647,171.993,4,6FyRXC8tJUh863JCkyWqtk,Adan y Eva,0.72
15,15,0.191,Marshmello,0.687,214290,0.792,1,0,5,0.167,-2.749,1,16,0.0452,17225374,100.015,4,2dpaYNEQHiRxtZbfNsse99,Happier,0.671
16,16,0.602,Anuel AA,0.807,258800,0.803,1,0.00853,11,0.136,-4.156,1,17,0.126,17147855,91.987,4,5W83ErFkO3aKAIS1WMi6u0,Secreto,0.706
17,17,0.00513,Travis Scott,0.834,312820,0.73,1,0,8,0.124,-3.714,1,18,0.222,16692985,155.008,4,2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,0.446
18,18,0.606,Khalid,0.551,210667,0.44,1,3.02E-05,10,0.11,-8.559,1,19,0.0985,14310195,167.923,4,5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,0.341
