Month,id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,time_signature,valence,tempo
1,14msK75pk3pA33pzPVNtBF,1,0.578,0.725,178640,0.321,0.000000,1,0.0884,-10.744,0,0.323,4,0.319,70.142
1,2JvzF1RMd7lE3KmFlsyZD8,2,0.149,0.837,213594,0.364,0.000000,8,0.271,-11.713,1,0.276,4,0.463,123.984
1,3KkXRkHbMCARz0aVfEt68P,3,0.556,0.76,158040,0.479,0.000000,2,0.0703,-5.574,1,0.0466,4,0.913,89.911
1,6MWtB6iiXyIwun0YzU6DFP,4,0.163,0.833,149520,0.539,0.000002,11,0.101,-7.399,0,0.178,4,0.385,99.947
1,5p7ujcrUXASCNwRaWNHR1C,5,0.297,0.752,201661,0.488,0.000009,6,0.0936,-7.05,1,0.0705,4,0.533,136.041
1,2rPE9A1vEgShuZxxzR2tZH,6,0.28,0.724,207333,0.647,0.000000,1,0.102,-5.642,1,0.0658,4,0.435,106.96
1,6Qs4SXO9dwPj5GKvVOv8Ki,7,0.45,0.741,171030,0.52,0.000002,8,0.222,-7.513,1,0.0656,4,0.347,102.998
1,5iwz1NiezX7WWjnCgY5TH4,8,0.323,0.826,238200,0.773,0.000000,11,0.143,-4.218,0,0.0524,4,0.761,126.899
1,25sgk305KZfyuqVBQIahim,9,0.0691,0.719,187436,0.704,0.000000,1,0.166,-4.724,1,0.0476,4,0.628,133.002
1,4w8niZpiMy6qz1mntFA5uM,10,0.157,0.842,212500,0.801,0.000005,8,0.0642,-4.167,0,0.228,4,0.617,95.881
1,116H0KvKr2Zl4RPuVBruDO,11,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,4,0.158,97.062
1,2VxeLyX666F8uXCJ0dZF8B,12,0.371,0.572,215733,0.385,0.000000,7,0.231,-6.362,1,0.0308,4,0.323,95.799
1,1rqqCSm0Qe4I9rUvWncaom,13,0.193,0.579,190947,0.904,0.000000,5,0.064,-2.729,1,0.0618,4,0.681,82.014
1,2IRZnDFmlqMuOrYOLnZZyc,14,0.259,0.889,180522,0.496,0.000000,4,0.252,-6.365,0,0.0905,4,0.544,86.003
1,6FyRXC8tJUh863JCkyWqtk,15,0.323,0.767,258639,0.709,0.000000,1,0.0676,-4.47,1,0.336,4,0.72,171.993
1,2dpaYNEQHiRxtZbfNsse99,16,0.191,0.687,214290,0.792,0.000000,5,0.167,-2.749,1,0.0452,4,0.671,100.015
1,5W83ErFkO3aKAIS1WMi6u0,17,0.602,0.807,258800,0.803,0.008530,11,0.136,-4.156,1,0.126,4,0.706,91.987
1,2xLMifQCjDGFmkHkpNLD9h,18,0.00513,0.834,312820,0.73,0.000000,8,0.124,-3.714,1,0.222,4,0.446,155.008
